img_name,p,r,f1,f2,conf,pred_cls,target_cls
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_425637800_00890_jpg.rf.4e3226a45f7bf69e58918d8952b79b6b.jpg,[          1           1],[          1           1],[          1           1],[          1           1],[    0.60328     0.45668],[          1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_424992500_00388_jpg.rf.ec28701153afa1dd22f46920ffb9297f.jpg,[          1],[          1],[          1],[          1],[    0.37844],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_425503100_00066_jpg.rf.c80d682dcb624742ec4e67f3dfc73544.jpg,[          0],[          0],[          0],[          0],[     0.4332],[          3],[          2]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_01_425008500_00677_jpg.rf.85e0f1a63299479dd07b5c5314f7beca.jpg,[          1],[          1],[          1],[          1],[    0.79664],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,[       0.25           1],[          1           1],[        0.4           1],[      0.625           1],[    0.93448     0.85049     0.46076     0.44301     0.31455     0.29742],[          1           1           1           6           1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_01_425005700_00442_jpg.rf.ef12f267a48c4fae4160ff0ff6c1cd07.jpg,[          1],[          1],[          1],[          1],[     0.5586],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,[          0],[          0],[          0],[          0],[     0.3864       0.304     0.25345],[          3           9           3],[          0           0]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_4401440300_00347_jpg.rf.ff9406713a4ed5507b002d4ce5f72e52.jpg,[          0],[          0],[          0],[          0],[],[],[          8           8           8]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_06_425614600_00411_jpg.rf.0ca4276f5b7c9adc24a31de9d096a32b.jpg,[          1],[          1],[          1],[          1],[    0.45619],[          7],[          7]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_07_4404374100_01265_jpg.rf.7c0ea7dc6275568c84f63ffd923f5c66.jpg,[          0],[          0],[          0],[          0],[],[],[          7]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,[          1     0.85653],[          1           1],[          1     0.92272],[          1     0.96759],[    0.56746       0.458     0.28167],[          1           9           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_01_425502900_00018_jpg.rf.993eb5cbb2f35e662145c2aa415d9879.jpg,[          1],[          1],[          1],[          1],[    0.47014],[          1],[          1]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_425508200_00024_jpg.rf.e7b2ff05772bc1c560893f689919a53b.jpg,[          0],[          0],[          0],[          0],[],[],[          2           2]
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_4406743300_00468_jpg.rf.3298d91af6c8c83868684ff0feb87c36.jpg,[          0],[          0],[          0],[          0],[    0.38372],[          6],[          6]
