img_name,p,r,f1,f2,conf,pred_cls,target_cls
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_08_425637800_00890_jpg.rf.4e3226a45f7bf69e58918d8952b79b6b.jpg,[    0.41764           1],[          1           1],[     0.5892           1],[    0.78193           1],[    0.72578     0.40858      0.3838     0.25631],[          1           1           9           1],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_03_425503100_00066_jpg.rf.c80d682dcb624742ec4e67f3dfc73544.jpg,[          0],[          0],[          0],[          0],[],[],[          2]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_01_425008500_00677_jpg.rf.85e0f1a63299479dd07b5c5314f7beca.jpg,[          1],[          1],[          1],[          1],[    0.75205],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,[          0           1],[          0           1],[          0           1],[          0           1],[      0.472     0.36287      0.3145],[          6           1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_01_425005700_00442_jpg.rf.ef12f267a48c4fae4160ff0ff6c1cd07.jpg,[    0.81737],[          1],[    0.89951],[    0.95722],[     0.5059     0.36779],[          6           6],[          6]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,[          0],[          0],[          0],[          0],[    0.46208     0.38677],[          3           3],[          0           0]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_03_4401440300_00347_jpg.rf.ff9406713a4ed5507b002d4ce5f72e52.jpg,[          0],[          0],[          0],[          0],[],[],[          8]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_06_425614600_00411_jpg.rf.0ca4276f5b7c9adc24a31de9d096a32b.jpg,[          1],[          1],[          1],[          1],[    0.51928     0.34324],[          7           3],[          7]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_07_4404374100_01265_jpg.rf.7c0ea7dc6275568c84f63ffd923f5c66.jpg,[          1],[          1],[          1],[          1],[    0.41367],[          7],[          7]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,[    0.64398           1],[          1           0],[    0.78344           0],[    0.90044           0],[    0.67142     0.60007     0.36748     0.33838],[          1           1           9           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_08_425508200_00024_jpg.rf.e7b2ff05772bc1c560893f689919a53b.jpg,[          0],[          0],[          0],[          0],[    0.49118     0.25198],[          1           1],[          2]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_08_4406743300_00468_jpg.rf.3298d91af6c8c83868684ff0feb87c36.jpg,[          0],[          0],[          0],[          0],[    0.72272],[          8],[          6]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_07_4406645900_00730_jpg.rf.68f3b77d92761bf22a8e39c9837cbacd.jpg,[          0],[          0],[          0],[          0],[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.15:0.2/test/images/img_03_4403715000_00003_jpg.rf.8fd599665109faa6025da5f5d7de01b0.jpg,[          0],[          0],[          0],[          0],[    0.38414],[          8],[          5]
