img_name,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_08_425637800_00890_jpg.rf.4e3226a45f7bf69e58918d8952b79b6b.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.398,[    0.57653],[          1],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_03_425503100_00066_jpg.rf.c80d682dcb624742ec4e67f3dfc73544.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.61132],[          3],[          2]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_01_425008500_00677_jpg.rf.85e0f1a63299479dd07b5c5314f7beca.jpg,[    0.91254],[          1],[    0.95427],[    0.98119],0.995,0.199,[    0.82403     0.53673     0.50811],[          8           8           8],[          8]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,[    0.33333           1],[          1           1],[        0.5           1],[    0.71429           1],0.995,0.199,[    0.42488     0.38082     0.32227      0.3023],[          1           1           1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_01_425005700_00442_jpg.rf.ef12f267a48c4fae4160ff0ff6c1cd07.jpg,[          1],[          1],[          1],[          1],0.995,0.597,[    0.41078],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.69451     0.62966     0.54135     0.52505     0.33862     0.28716     0.26844     0.25138],[          3           3           3           4           3           9           9           8],[          0]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_03_4401440300_00347_jpg.rf.ff9406713a4ed5507b002d4ce5f72e52.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_06_425614600_00411_jpg.rf.0ca4276f5b7c9adc24a31de9d096a32b.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          7]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_07_4404374100_01265_jpg.rf.7c0ea7dc6275568c84f63ffd923f5c66.jpg,[          1],[          1],[          1],[          1],0.995,0.8955,[    0.27594],[          7],[          7]
/Data4/student_zhihan_data/data/GC10-DET_Transform_Scale_0.1:0.15/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.597,[    0.90416     0.49906],[          1           9],[          1           9]
