img_name,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_08_425637800_00890_jpg.rf.4e3226a45f7bf69e58918d8952b79b6b.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.597,[     0.5507     0.35286],[          1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_03_424992500_00388_jpg.rf.ec28701153afa1dd22f46920ffb9297f.jpg,[    0.74715],[          1],[    0.85528],[    0.93661],0.995,0.6965,[    0.48063     0.38136],[          8           8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_03_425503100_00066_jpg.rf.c80d682dcb624742ec4e67f3dfc73544.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.51148],[          3],[          2]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_01_425008500_00677_jpg.rf.85e0f1a63299479dd07b5c5314f7beca.jpg,[          1],[          1],[          1],[          1],0.995,0.597,[    0.84651],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.54725,[    0.58282     0.50105],[          1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_01_425005700_00442_jpg.rf.ef12f267a48c4fae4160ff0ff6c1cd07.jpg,[          1],[          1],[          1],[          1],0.995,0.398,[    0.39419],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.35328     0.33201     0.32677     0.27026     0.25945],[          0           9           3           9           0],[          0           0]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_03_4401440300_00347_jpg.rf.ff9406713a4ed5507b002d4ce5f72e52.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.61433     0.29456],[          8           8],[          8           8           8]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_06_425614600_00411_jpg.rf.0ca4276f5b7c9adc24a31de9d096a32b.jpg,[    0.90614],[          1],[    0.95076],[     0.9797],0.995,0.49749999999999994,[     0.5768     0.30898],[          7           7],[          7]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_07_4404374100_01265_jpg.rf.7c0ea7dc6275568c84f63ffd923f5c66.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.29531],[          9],[          7]
/Data4/student_zhihan_data/data/GC10-DET/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.6467499999999999,[    0.89695     0.34093],[          1           9],[          1           9]
