img_name,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425637700_00001_jpg.rf.6ae4f4bf0b632f386fd4dcaf119a99a8.jpg,[    0.33333           1],[          1           1],[        0.5           1],[    0.71429           1],0.995,0.6467499999999999,[    0.52599      0.4836     0.34093     0.32404],[          4           4           9           4],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4402719100_00014_jpg.rf.5911ef669eee155aaf72f45e4d59261e.jpg,[    0.38902],[          1],[    0.56014],[    0.76097],0.4975,0.0995,[     0.4151     0.37389     0.31298],[          7           7           7],[          7]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3437009400_00001_jpg.rf.8bb7c8c7dda98128b2989b16cc37cf95.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.44775,[    0.44247     0.44208],[          4           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425243300_00234_jpg.rf.1b30ea00e0685cb57fc563ec6b2834a0.jpg,[          1],[          1],[          1],[          1],0.995,0.597,[    0.44685],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_4404580600_00490_jpg.rf.16650ce74d5d2b9e1a4b65ca282e63da.jpg,[    0.33333],[          1],[        0.5],[    0.71429],0.995,0.6965,[    0.31028     0.28977     0.26558],[          6           6           6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425391700_00019_jpg.rf.a83eb8a4786e911b865620721dea3b3a.jpg,[          0           1],[          0           1],[          0           1],[          0           1],0.4975,0.199,[    0.51134],[          9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_4402787700_01015_jpg.rf.8a458269ef19374e068b16bb8b26efce.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.199,[    0.68277      0.6396     0.25422],[          9           4           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_3402617400_01103_jpg.rf.47380451b24c0c5e85700298c1ecbe6f.jpg,[          1     0.77585],[          1           1],[          1     0.87378],[          1     0.94537],0.995,0.597,[    0.50666     0.38814     0.27482],[          4           9           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_425508400_00364_jpg.rf.8177783933f3ec138c19234b0c9a987b.jpg,[    0.78558],[          1],[    0.87992],[    0.94824],0.995,0.14925,[    0.53742     0.41865     0.38187],[          8           8           8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3436813700_00265_jpg.rf.930c0dce6ac8ea23635e00156c54d847.jpg,[    0.61055],[          1],[    0.75819],[    0.88686],0.995,0.34825,[    0.82946     0.76439],[          8           8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425383400_00356_jpg.rf.95edaa0a45ecf5edd27f6fe67d7ca516.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425503400_00040_jpg.rf.460b8c269a7902513c25ebba5ad348dd.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_3436814000_00680_jpg.rf.8397a25032021edba0f78cc851a96628.jpg,[          1],[          1],[          1],[          1],0.995,0.597,[    0.26085],[          7],[          7]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_04_424826800_00003_jpg.rf.891f33e014f9a1c5dc37b3e10d61626f.jpg,[        0.5],[          1],[    0.66667],[    0.83333],0.995,0.49749999999999994,[    0.52873     0.52082],[          1           1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425507200_01515_jpg.rf.06381aad67086d44ca7ea4608d72e8f3.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          3           3           3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00487_jpg.rf.82b9dbaa4f137fa15468dcf3161cf781.jpg,[          1],[          1],[          1],[          1],0.995,0.597,[    0.40956],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_SIS001546_00060_jpg.rf.d43f5b191389863445d4ce148e990ba1.jpg,[        0.4],[          1],[    0.57143],[    0.76923],0.398,0.1396,[    0.84849     0.34751      0.3121     0.27172     0.25477],[          3           3           3           3           3],[          3           3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_425391700_00179_jpg.rf.350d4cb24b15f3e707bf8d5e9679a07b.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[     0.6638],[          3],[          3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00304_jpg.rf.edaf9de3f2bd73b2dc25a7f62812cfe5.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.52986],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_425243200_00116_jpg.rf.414f4254e3ec554488c23c4b8fa6eea2.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.48263     0.30536],[          6           6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00419_jpg.rf.8c743eb5b66f0f248cf83b1a32dc79e0.jpg,[          1],[          1],[          1],[          1],0.995,0.796,[    0.60122],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425502700_00052_jpg.rf.696a9f574b9648d37a51add1c8396050.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.44775,[    0.78775     0.26871],[          4           9],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_3403335600_00795_jpg.rf.fbeffc6858f281ccb2768b7d2cad947b.jpg,[          1],[          1],[          1],[          1],0.995,0.398,[    0.46665     0.37451],[          9           7],[          9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_3403392100_00869_jpg.rf.48b3354ab84def97fdacfe86c84e7502.jpg,[        0.5           1],[          1           1],[    0.66667           1],[    0.83333           1],0.74625,0.422875,[    0.62534     0.34536     0.32192],[          4           1           1],[          4           1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_04_4406645900_00824_jpg.rf.909f8ed27a26792af06e4528dac62466.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_3403331800_01590_jpg.rf.f0e36ebdfb633c276583960c06f0749a.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.72422],[          4],[          4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_425505400_00017_jpg.rf.146e8d558f17116c0f7546d1acac287f.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.398,[    0.70111     0.27606],[          4           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_425638500_00001_jpg.rf.0b49bf6a99f9a161f014817f798d3ba0.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.34825,[    0.68848     0.58051],[          4           9],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_425005700_01204_jpg.rf.cd263adfe42560c9153e8fdbba95eab4.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00285_jpg.rf.f33e7ac36efff8f3c2348f7ce3bfea02.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[     0.5184],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00270_jpg.rf.61412eea5a9725048a97a40f0aac1e75.jpg,[          1],[          1],[          1],[          1],0.995,0.398,[    0.52617],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00255_jpg.rf.a2899fab218b0d8eba48ae140ad9cdc5.jpg,[          1],[          1],[          1],[          1],0.995,0.0995,[    0.60214],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_4406743300_00001_jpg.rf.066c00f987a79cc7779e120e05e9c171.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.74625,[    0.55656     0.36978],[          1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3436813700_00274_jpg.rf.73a3eac7924224b3d1992e7b0ced0fc7.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.71642],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_4406425000_00001_jpg.rf.635f83239c61b5bfecfbec59bc7e080a.jpg,[          0           1           1           1],[          0           1           1           1],[          0           1           1           1],[          0           1           1           1],0.74625,0.398,[    0.38666     0.35868     0.31317],[          6           9           4],[          4           9           6           3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3436786500_00137_jpg.rf.223cb9aaa83e377fda17571bbc8a1f53.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.28176],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_3436814000_00007_jpg.rf.8b8e88056692134ec4cb033f4f77ee91.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          7]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_3403331900_01545_jpg.rf.9d3af72001e44c32a04ff45e044ec8a9.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.34825,[    0.74074     0.51403],[          4           9],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_3403401900_00722_jpg.rf.bf9675928b157fef2813a9bf74387385.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.44775,[    0.52927     0.32125],[          4           9],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_424826800_00493_jpg.rf.5889eab083ddface86908d3bcd886331.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.38705],[          7],[          7]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425005700_00384_jpg.rf.d8b153438b45fe02a891ee48fdec7439.jpg,[          1],[          1],[          1],[          1],0.995,0.398,[     0.6665],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_05_425505000_00051_jpg.rf.97f6c7a3bb506688d60ab436792d8421.jpg,[    0.90145],[          1],[    0.94817],[     0.9786],0.995,0.6965,[    0.52251     0.26358],[          1           1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425501900_00054_jpg.rf.deb9f15bf6c2ad8d8e7571b457017de2.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.597,[    0.73764     0.50706],[          4           9],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_424799600_00800_jpg.rf.14a4d58047293a727aa316543ec6962e.jpg,[          1],[          1],[          1],[          1],0.995,0.8955,[    0.78617],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_4406772100_00002_jpg.rf.3cccb19cf317e3c207163b8ec5270b6e.jpg,[          1],[          1],[          1],[          1],0.995,0.796,[    0.54976],[          1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4406645900_00786_jpg.rf.8807cb2bfd7e235cd6505e87f5892eb3.jpg,[          1],[          1],[          1],[          1],0.995,0.199,[    0.33925],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_4406743300_00446_jpg.rf.9bf43134901397a91d1a0fa8ac398ff6.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425502100_00017_jpg.rf.db0070cf49a1ba579eefc2322ba6f2d8.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.6965,[    0.76181     0.49922],[          1           9],[          9           1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_05_4406743300_00420_jpg.rf.73173988e33052d9b2b7cfac70716c3d.jpg,[    0.81056],[          1],[    0.89537],[    0.95534],0.995,0.597,[    0.38883     0.25556],[          6           6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425614600_00428_jpg.rf.32eb3333dd85e9ba85a3ecfc7635d842.jpg,[          1],[          1],[          1],[          1],0.995,0.49749999999999994,[     0.3946],[          3],[          3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_425613500_00596_jpg.rf.20fc4dc8b46c348cb6c1d67eeb00cd32.jpg,[          1     0.73411],[          1           1],[          1     0.84667],[          1     0.93246],0.995,0.7462500000000001,[    0.80838     0.41989     0.32489],[          1           9           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_05_424798500_01235_jpg.rf.244e73938023b56a8b092f5e294f9fb9.jpg,[          1],[          1],[          1],[          1],0.995,0.398,[    0.57794],[          1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_425507000_00900_jpg.rf.8b6be9219cbce163e04055012edfc9e6.jpg,[          1],[          1],[          1],[          1],0.995,0.49749999999999994,[      0.647],[          3],[          3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_04_424799400_01080_jpg.rf.03c1e24c186fdd00eab1ccba9f37e6af.jpg,[        0.5           1],[          1           1],[    0.66667           1],[    0.83333           1],0.74625,0.5472499999999999,[    0.62495     0.52679     0.38442],[          1           1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_04_4406645900_00857_jpg.rf.aa95954ab9664c479df756e8b0bc6cd3.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_04_SIS001577_00012_jpg.rf.df7bc9f9122e608b8c5688417e76770c.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.32507],[          6],[          6           6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_3403404000_00927_jpg.rf.a3240200f56d28027b991de2d57664f6.jpg,[          0           0],[          0           0],[          0           0],[          0           0],0.0,0.0,[    0.36566],[          3],[          4           6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4406645900_00558_jpg.rf.345b81c67be287b3db33ec20a0c79e66.jpg,[          1],[          1],[          1],[          1],0.995,0.49749999999999994,[    0.34384],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_4406772100_00002_jpg.rf.1af62da5ecafafd30c1d6a6a6a127670.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.24874999999999997,[    0.85356     0.25234],[          1           9],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425616300_00001_jpg.rf.ac4e4019e9d66a733d66c355de867fee.jpg,[     0.9601           0],[          1           0],[    0.97964           0],[    0.99176           0],0.4975,0.223875,[    0.91197       0.284],[          1           1],[          1           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_4402766600_00002_jpg.rf.a04be64224b155038a90e0514dd15e25.jpg,[          1         0.5],[          1           1],[          1     0.66667],[          1     0.83333],0.995,0.44775,[    0.75838     0.55774      0.3654     0.31661],[          4           3           9           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_425505500_00052_jpg.rf.33e4cb8e7fd86352f142b39be0d4df79.jpg,[          1],[          1],[          1],[          1],0.995,0.796,[     0.7682],[          1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_436152900_00001_jpg.rf.496e76877ed2943c65f832386e0cef51.jpg,[          0     0.76376           1],[          0           1           1],[          0     0.86606           1],[          0     0.94174           1],0.6633333333333333,0.23216666666666666,[    0.49391     0.46981     0.33626],[          4           9           4],[          9           4           1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_436150300_00330_jpg.rf.3387db40dfbd38f075775b831c2ef783.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425646200_00657_jpg.rf.f59be2960c1f3845b82b702960264466.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.34825,[    0.25588],[          4],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425505500_00018_jpg.rf.a3648df8ce876649ab50683607ae4b1b.jpg,[    0.77536],[          1],[    0.87347],[    0.94523],0.995,0.2985,[    0.73216     0.58885     0.56222     0.44936],[          8           8           4           4],[          4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_3402617500_00787_jpg.rf.ae1ab50040ecfb9ce9ab087d93005ac8.jpg,[          1     0.84702],[          1           1],[          1     0.91717],[          1     0.96514],0.995,0.572125,[    0.69195     0.49937     0.33294],[          4           9           9],[          4           9]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3402616100_00002_jpg.rf.21ad093714cf11b3dbcaee251cfc021a.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.24874999999999997,[    0.63855     0.46471],[          4           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425613800_00787_jpg.rf.a9ab4bd757b38593873c688f287a8cac.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.54725,[     0.5543     0.40112],[          4           9],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_04_4402622500_00355_jpg.rf.4620e3042a6fbe445fe776229dc7e243.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4402625300_01262_jpg.rf.8997391b463434d1632f35153ecb8342.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2           2           2]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_424799300_01133_jpg.rf.070ed97e481075512e03fcd4232db305.jpg,[    0.70228],[          1],[     0.8251],[    0.92184],0.995,0.398,[    0.57904     0.49421],[          1           1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_4406446600_00073_jpg.rf.17ebb9d4f91c25996beecf8dfbb02b39.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.26145],[          3],[          3           3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425503500_00018_jpg.rf.85102a6891eb11dcb5da6f7e122d0194.jpg,[    0.84716],[          1],[    0.91726],[    0.96517],0.995,0.6965,[    0.54987     0.38508],[          1           1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425614600_00426_jpg.rf.d4b18dabda6da2dcd7336af780a81fcb.jpg,[          1],[          1],[          1],[          1],0.995,0.597,[    0.58367],[          7],[          7]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3436813700_00326_jpg.rf.af26e70e70800f88daffe56539b29853.jpg,[          1],[          1],[          1],[          1],0.995,0.49749999999999994,[    0.67186],[          8],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_425007600_01072_jpg.rf.d71e1eefdee2ef15d0298b9a5f418c15.jpg,[          1     0.58634],[          1           1],[          1     0.73923],[          1     0.87635],0.995,0.671625,[    0.64452     0.35213     0.29069],[          1           9           9],[          9           1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_436153600_00688_jpg.rf.4731e7c749572eeb432280e8b3259bec.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.32132],[          6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_436152900_00605_jpg.rf.0bbbc83cedfe7ca0aa0bbdf48f74761d.jpg,[          1],[    0.33333],[        0.5],[    0.38462],0.6666500000000002,0.3333250000000001,[    0.40026],[          6],[          6           6           6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_424992500_01025_jpg.rf.908f65cee3e7abcec5299fadbc47606b.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.50256     0.38922     0.34164     0.28816],[          8           3           6           6],[          8]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_08_436068100_00869_jpg.rf.6ccbc80a240c789420a0c09f2165f96a.jpg,[          1],[          1],[          1],[          1],0.995,0.2985,[    0.27969],[          1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_3403402800_00951_jpg.rf.13cad6e1ac6e74ab8d6e2c24aef2a318.jpg,[          0           1           0           1],[          0           1           0           1],[          0           1           0           1],[          0           1           0           1],0.4975,0.223875,[    0.74014     0.42857     0.29151],[          4           9           6],[          4           9           5           3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425503000_00017_jpg.rf.2fe102b093b16f7a234f8126de0e936a.jpg,[        0.5],[          1],[    0.66667],[    0.83333],0.4975,0.14925,[    0.47496     0.46465],[          1           1],[          1]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4406645900_00526_jpg.rf.8b2c19efe56ebff862b7a86f746c8259.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_4406645900_00001_jpg.rf.5a810aeef8fdf0a421cf24251688387f.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.597,[    0.52893      0.4584],[          4           1],[          1           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4406645900_00647_jpg.rf.d1f14fdc8a6432fcd1bf548f6b8f6c40.jpg,[    0.33333],[          1],[        0.5],[    0.71429],0.33166666666666667,0.06633333333333333,[    0.39161     0.34612     0.27013],[          6           6           6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_3403395200_01004_jpg.rf.4fcd1880cb27b2678e79d8fb80a4112b.jpg,[          1           1],[          1         0.5],[          1     0.66667],[          1     0.55556],0.8725,0.46075,[     0.6479     0.31968],[          4           6],[          4           6           6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_424799200_00178_jpg.rf.6845fe87dd8b1b5103530950d01ab60b.jpg,[     0.6175],[          1],[    0.76352],[    0.88977],0.995,0.44775,[    0.47892     0.41292     0.28321     0.27022],[          3           3           3           3],[          3]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_436153600_00671_jpg.rf.c195b52125dae3db3798e792e0e64b6e.jpg,[        0.5],[          1],[    0.66667],[    0.83333],0.995,0.6965,[    0.26885     0.25703],[          6           6],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4406645900_00523_jpg.rf.372f919e4c6b9bad446ad12a75843080.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_436184600_00002_jpg.rf.eaea2382a9bd6a0077799da0f59d898d.jpg,[    0.83442           0],[          1           0],[    0.90974           0],[    0.96183           0],0.4975,0.223875,[    0.69052     0.53688],[          4           4],[          9           4]
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_4406645900_00303_jpg.rf.4d0c34e3935e58a2f1225494be3257e3.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
